                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.86809,                 3.0101,                  1.175,                0.75787,                0.64579,                0.66359,                0.53137,                0.71009,                0.85581,                 1.0546,              0.0032941,              0.0032941,              0.0032941
                      2,                 0.7759,                 1.0365,                 1.0787,                0.77155,                0.70856,                0.76464,                0.59498,                0.72329,                0.68606,                 1.0557,              0.0066209,              0.0066209,              0.0066209
                      3,                0.83379,                 0.9366,                 1.1185,                0.79894,                0.70772,                0.74453,                0.55469,                0.79755,                0.88098,                 1.1497,              0.0099411,              0.0099411,              0.0099411
                      4,                0.85538,                0.90749,                 1.1467,                0.79704,                0.66191,                0.72702,                0.54675,                0.82551,                0.91066,                 1.2035,              0.0099703,              0.0099703,              0.0099703
                      5,                0.86451,                0.81931,                 1.1604,                0.73321,                0.71129,                0.79339,                0.61288,                0.77078,                0.85611,                 1.1627,              0.0099604,              0.0099604,              0.0099604
                      6,                0.85229,                0.77936,                 1.1603,                0.84203,                0.76939,                0.83496,                0.63676,                0.76151,                0.65131,                  1.163,              0.0099505,              0.0099505,              0.0099505
                      7,                0.84541,                0.71949,                 1.1682,                0.82874,                0.77702,                0.83044,                0.64074,                0.74926,                0.62767,                 1.1594,              0.0099406,              0.0099406,              0.0099406
                      8,                0.83455,                0.70172,                 1.1624,                0.81332,                0.80601,                0.85748,                0.66989,                0.73206,                0.67003,                 1.1444,              0.0099307,              0.0099307,              0.0099307
                      9,                0.83126,                0.68767,                 1.1507,                0.88038,                0.79689,                0.87264,                0.68393,                 0.7221,                0.53536,                 1.1182,              0.0099208,              0.0099208,              0.0099208
                     10,                0.83608,                0.67647,                 1.1478,                0.86898,                0.82536,                 0.8665,                0.66732,                0.76225,                0.58765,                  1.153,              0.0099109,              0.0099109,              0.0099109
                     11,                0.82281,                0.64992,                  1.146,                0.85161,                0.83061,                0.87696,                0.67966,                0.74996,                0.53424,                 1.1359,               0.009901,               0.009901,               0.009901
                     12,                0.79722,                0.61758,                 1.1339,                0.87705,                0.83218,                0.85101,                0.66496,                0.72345,                0.62872,                 1.1163,              0.0098911,              0.0098911,              0.0098911
                     13,                0.82368,                0.61622,                 1.1415,                0.86606,                0.83894,                0.89944,                0.70022,                0.71408,                0.58095,                 1.1251,              0.0098812,              0.0098812,              0.0098812
                     14,                0.80763,                0.59901,                 1.1364,                0.86145,                0.89625,                0.91956,                0.72358,                0.70391,                0.44929,                 1.1179,              0.0098713,              0.0098713,              0.0098713
                     15,                0.80608,                0.59425,                 1.1345,                0.89841,                0.88363,                0.91671,                0.72707,                 0.7121,                0.44735,                 1.1101,              0.0098614,              0.0098614,              0.0098614
                     16,                0.80684,                0.60039,                 1.1316,                0.90574,                 0.8624,                0.89507,                0.70176,                0.69439,                0.45789,                 1.0881,              0.0098515,              0.0098515,              0.0098515
                     17,                0.78212,                0.57294,                 1.1216,                0.90175,                0.89604,                0.92235,                0.72967,                0.68457,                0.42087,                 1.0829,              0.0098416,              0.0098416,              0.0098416
                     18,                0.77866,                0.57466,                 1.1178,                0.91134,                0.88446,                0.93464,                0.74112,                0.67819,                0.41587,                 1.0888,              0.0098317,              0.0098317,              0.0098317
                     19,                0.77653,                0.56592,                 1.1193,                0.88891,                0.85553,                0.92519,                0.73248,                0.69021,                0.45545,                 1.0921,              0.0098218,              0.0098218,              0.0098218
                     20,                0.77203,                0.54548,                 1.1109,                0.91972,                 0.8953,                 0.9252,                0.74101,                0.67418,                0.39017,                 1.0886,              0.0098119,              0.0098119,              0.0098119
                     21,                0.77273,                0.54612,                 1.1119,                0.87646,                0.92355,                0.94075,                0.74555,                0.67858,                0.40187,                 1.0774,               0.009802,               0.009802,               0.009802
                     22,                0.76657,                0.53985,                 1.1021,                0.92798,                0.91136,                0.94165,                0.75397,                0.66352,                0.39112,                 1.0622,              0.0097921,              0.0097921,              0.0097921
                     23,                0.77547,                0.53886,                  1.117,                0.92569,                0.93638,                0.94732,                0.75906,                0.68583,                0.37862,                 1.0914,              0.0097822,              0.0097822,              0.0097822
                     24,                0.76143,                0.51248,                 1.1019,                0.96117,                0.89296,                0.94504,                0.76615,                0.65686,                0.38233,                 1.0679,              0.0097723,              0.0097723,              0.0097723
                     25,                0.74351,                0.50419,                 1.0956,                0.92885,                0.92298,                 0.9475,                0.75263,                0.68935,                0.39839,                 1.0828,              0.0097624,              0.0097624,              0.0097624
                     26,                0.74498,                 0.5027,                 1.0928,                0.89925,                0.92389,                0.95445,                0.77304,                0.64551,                0.37543,                 1.0508,              0.0097525,              0.0097525,              0.0097525
                     27,                0.74806,                0.51274,                 1.1005,                 0.9472,                 0.8923,                0.95229,                0.76653,                0.66307,                0.37475,                 1.0693,              0.0097426,              0.0097426,              0.0097426
                     28,                0.74926,                0.51728,                 1.0976,                0.95612,                0.92644,                0.96245,                0.77649,                0.66528,                0.37163,                 1.0535,              0.0097327,              0.0097327,              0.0097327
                     29,                0.73512,                0.50096,                 1.0963,                0.92974,                0.92801,                0.95181,                0.75579,                 0.6605,                 0.3937,                 1.0718,              0.0097228,              0.0097228,              0.0097228
                     30,                0.74545,                0.50586,                 1.0992,                0.93168,                 0.9366,                0.95259,                0.76776,                0.63636,                0.34694,                 1.0549,              0.0097129,              0.0097129,              0.0097129
                     31,                0.73189,                 0.4877,                 1.0866,                0.95894,                0.91081,                0.95808,                0.77386,                0.64734,                0.37789,                 1.0587,               0.009703,               0.009703,               0.009703
                     32,                0.72757,                0.47621,                 1.0857,                0.94811,                0.91982,                0.96811,                 0.7912,                0.62111,                0.35095,                 1.0406,              0.0096931,              0.0096931,              0.0096931
                     33,                 0.7319,                0.49018,                 1.0866,                0.95131,                0.95179,                   0.97,                  0.793,                0.63848,                0.33838,                 1.0458,              0.0096832,              0.0096832,              0.0096832
                     34,                0.72592,                0.49031,                 1.0815,                0.97092,                0.94154,                 0.9726,                0.79435,                0.63058,                 0.3384,                 1.0424,              0.0096733,              0.0096733,              0.0096733
                     35,                0.73239,                0.48325,                 1.0858,                0.95477,                0.95207,                0.97488,                0.79353,                 0.6414,                0.34577,                  1.051,              0.0096634,              0.0096634,              0.0096634
                     36,                0.73534,                0.48935,                 1.0947,                0.91696,                  0.949,                0.97102,                 0.7873,                0.62858,                 0.3471,                 1.0485,              0.0096535,              0.0096535,              0.0096535
                     37,                 0.7235,                0.47074,                 1.0863,                0.93927,                0.94694,                 0.9723,                0.80198,                0.62237,                0.32757,                 1.0492,              0.0096436,              0.0096436,              0.0096436
                     38,                0.71399,                0.45941,                 1.0788,                0.97232,                0.94431,                0.96609,                0.79381,                0.62187,                0.33023,                 1.0398,              0.0096337,              0.0096337,              0.0096337
                     39,                0.72259,                0.47066,                 1.0903,                0.95751,                0.94568,                0.97148,                0.79142,                0.62989,                0.33355,                 1.0414,              0.0096238,              0.0096238,              0.0096238
                     40,                0.71426,                0.46815,                 1.0781,                0.95973,                0.95931,                0.97519,                 0.7915,                0.61774,                0.32566,                 1.0359,              0.0096139,              0.0096139,              0.0096139
                     41,                0.71262,                0.45066,                 1.0764,                0.97002,                0.94688,                0.97177,                0.79764,                0.61877,                0.32443,                 1.0356,               0.009604,               0.009604,               0.009604
                     42,                0.71161,                0.45283,                 1.0796,                0.97428,                0.93746,                0.97417,                 0.8034,                0.61636,                0.32483,                 1.0379,              0.0095941,              0.0095941,              0.0095941
                     43,                0.71686,                0.46704,                 1.0728,                0.97136,                 0.9407,                0.97223,                0.79538,                0.62747,                0.32757,                 1.0358,              0.0095842,              0.0095842,              0.0095842
                     44,                0.69904,                0.44478,                 1.0694,                0.95732,                0.95372,                0.97207,                0.80249,                0.61592,                0.32939,                 1.0279,              0.0095743,              0.0095743,              0.0095743
                     45,                0.70081,                0.44351,                 1.0683,                0.96057,                0.96704,                0.97508,                0.80808,                0.60416,                0.31464,                 1.0195,              0.0095644,              0.0095644,              0.0095644
                     46,                0.70684,                0.45539,                 1.0711,                0.96261,                0.94061,                0.97277,                0.80047,                0.60504,                0.34645,                 1.0219,              0.0095545,              0.0095545,              0.0095545
                     47,                0.69255,                0.44621,                 1.0665,                 0.9393,                0.95171,                0.97015,                0.80327,                0.60533,                0.36201,                 1.0177,              0.0095446,              0.0095446,              0.0095446
                     48,                0.69068,                0.43336,                 1.0587,                0.96756,                0.95753,                0.97498,                0.80627,                0.60854,                0.30934,                 1.0286,              0.0095347,              0.0095347,              0.0095347
                     49,                0.69797,                0.45083,                 1.0739,                0.96635,                0.97108,                0.98093,                0.81278,                0.60202,                 0.3081,                 1.0196,              0.0095248,              0.0095248,              0.0095248
                     50,                0.69579,                 0.4409,                 1.0596,                0.94541,                0.95387,                 0.9745,                0.81778,                0.59149,                 0.3087,                 1.0148,              0.0095149,              0.0095149,              0.0095149
                     51,                0.69304,                0.43336,                  1.069,                0.98264,                0.94388,                0.97398,                0.81014,                0.59398,                0.31078,                 1.0144,               0.009505,               0.009505,               0.009505
                     52,                0.68697,                0.42887,                 1.0545,                0.95612,                0.96251,                0.97764,                0.80954,                0.60251,                0.30548,                 1.0141,              0.0094951,              0.0094951,              0.0094951
                     53,                0.68209,                0.42906,                 1.0534,                0.95262,                0.95131,                0.97603,                0.81013,                0.58567,                 0.3014,                 1.0067,              0.0094852,              0.0094852,              0.0094852
                     54,                0.67037,                 0.4121,                 1.0522,                0.98267,                0.93505,                0.97512,                0.80859,                0.58942,                0.30002,                 1.0133,              0.0094753,              0.0094753,              0.0094753
                     55,                0.66807,                0.41624,                 1.0414,                0.97838,                0.95964,                0.97685,                0.82751,                0.57798,                0.29336,                 1.0014,              0.0094654,              0.0094654,              0.0094654
                     56,                0.67327,                0.42845,                 1.0441,                0.94808,                0.96842,                0.97457,                0.81994,                0.58774,                0.29735,                 1.0182,              0.0094555,              0.0094555,              0.0094555
                     57,                0.68564,                0.41928,                 1.0592,                0.96228,                0.96031,                0.97637,                0.81635,                0.57319,                0.29102,                 1.0033,              0.0094456,              0.0094456,              0.0094456
                     58,                0.67384,                0.42718,                 1.0594,                0.95604,                0.96568,                0.97893,                0.82152,                0.57749,                0.29064,                 1.0014,              0.0094357,              0.0094357,              0.0094357
                     59,                0.66594,                0.40689,                 1.0539,                0.96193,                 0.9738,                0.98014,                 0.8239,                0.57599,                0.28247,                0.99952,              0.0094258,              0.0094258,              0.0094258
                     60,                0.66866,                0.40418,                 1.0454,                0.94996,                0.95829,                0.97049,                0.81291,                0.57421,                0.29085,                 1.0007,              0.0094159,              0.0094159,              0.0094159
                     61,                 0.6652,                0.41122,                 1.0349,                0.95439,                0.97342,                0.98098,                0.82454,                0.57518,                0.28746,                 1.0069,               0.009406,               0.009406,               0.009406
                     62,                 0.6593,                0.40429,                 1.0465,                0.95073,                0.97207,                0.98039,                 0.8204,                0.57736,                 0.2892,                 1.0057,              0.0093961,              0.0093961,              0.0093961
                     63,                0.65749,                0.39987,                  1.048,                0.93918,                0.97637,                0.98207,                0.82427,                 0.5697,                0.28101,                 1.0007,              0.0093862,              0.0093862,              0.0093862
                     64,                0.65625,                0.40262,                 1.0497,                0.95755,                0.96617,                 0.9768,                0.82247,                 0.5677,                0.28866,                 1.0025,              0.0093763,              0.0093763,              0.0093763
                     65,                0.66695,                0.41079,                 1.0503,                0.96577,                0.96706,                0.98164,                0.82963,                0.55855,                  0.279,                0.99248,              0.0093664,              0.0093664,              0.0093664
                     66,                0.66439,                0.39502,                 1.0441,                0.95171,                0.96627,                0.98016,                 0.8252,                0.56287,                0.28603,                0.99199,              0.0093565,              0.0093565,              0.0093565
                     67,                0.65617,                0.40772,                 1.0383,                0.98935,                0.95252,                 0.9769,                0.82089,                0.56697,                0.28284,                0.99334,              0.0093466,              0.0093466,              0.0093466
                     68,                0.66424,                 0.4069,                 1.0517,                 0.9465,                0.97344,                0.97946,                 0.8289,                0.56021,                0.27905,                0.99158,              0.0093367,              0.0093367,              0.0093367
                     69,                0.65742,                0.38905,                 1.0458,                0.96906,                0.96999,                0.98482,                0.83259,                0.56288,                0.28265,                0.99187,              0.0093268,              0.0093268,              0.0093268
                     70,                0.64461,                0.39153,                 1.0329,                0.97285,                0.96523,                0.98096,                0.83393,                0.54289,                0.27321,                0.98083,              0.0093169,              0.0093169,              0.0093169
                     71,                0.64084,                0.38389,                 1.0299,                0.97545,                0.96292,                0.97779,                0.82985,                 0.5535,                0.27442,                0.98185,               0.009307,               0.009307,               0.009307
                     72,                0.64902,                0.38837,                 1.0404,                0.95491,                0.97157,                0.97977,                0.83766,                0.54926,                0.27404,                 0.9806,              0.0092971,              0.0092971,              0.0092971
                     73,                0.63945,                0.38966,                   1.03,                 0.9735,                0.97003,                0.98255,                0.83623,                0.54859,                0.27296,                0.98837,              0.0092872,              0.0092872,              0.0092872
